Model,Experiment,Parameter,Unit,RMSE,Std_Dev,N_Windows
tiny,Context Length,2,days,76.79234804798233,23.022489954037553,20
tiny,Context Length,4,days,85.88683031566146,29.00268332164411,20
tiny,Context Length,8,days,76.48137781517802,28.91057945521569,20
tiny,Context Length,10,days,73.17111967617537,27.372054730892796,20
tiny,Context Length,14,days,71.99358157729573,26.145508925972273,20
tiny,Forecast Horizon,4,hours,43.22567414188172,26.295797589702715,20
tiny,Forecast Horizon,8,hours,68.75203434745387,44.989072318464856,20
tiny,Forecast Horizon,12,hours,70.69285895971129,39.31120212627739,20
tiny,Forecast Horizon,24,hours,74.05143725272627,27.340693822887832,20
tiny,Forecast Horizon,48,hours,73.84056464590164,26.21904622778984,20
mini,Context Length,2,days,74.90650038464338,24.375333510394515,20
mini,Context Length,4,days,86.43107494350544,27.677426429193705,20
mini,Context Length,8,days,74.52595992161181,27.532715416695822,20
mini,Context Length,10,days,74.13414480298651,23.04628114293291,20
mini,Context Length,14,days,73.12061821623075,24.64549531111943,20
mini,Forecast Horizon,4,hours,46.2168970104563,21.064331433686483,20
mini,Forecast Horizon,8,hours,64.41744254305986,38.622515817166544,20
mini,Forecast Horizon,12,hours,72.77732766486346,36.01231524250027,20
mini,Forecast Horizon,24,hours,73.94417708781472,25.94112673311954,20
mini,Forecast Horizon,48,hours,73.60624622640155,26.140888720109604,20
small,Context Length,2,days,78.43808573661946,26.45363170041466,20
small,Context Length,4,days,85.55043182185587,26.297191995368156,20
small,Context Length,8,days,78.97212794955652,29.515795998860792,20
small,Context Length,10,days,71.33957715921659,26.92002245912196,20
small,Context Length,14,days,78.95672527286699,28.293678554872248,20
small,Forecast Horizon,4,hours,38.98859940736893,21.668970256441007,20
small,Forecast Horizon,8,hours,62.45047970732768,40.22251623423464,20
small,Forecast Horizon,12,hours,62.80855596971763,32.51363387084902,20
small,Forecast Horizon,24,hours,75.45570087867858,31.362394597225975,20
small,Forecast Horizon,48,hours,75.05554352293926,29.23478642182389,20
base,Context Length,2,days,78.92774964281642,25.199287587262866,20
base,Context Length,4,days,82.54380228074533,33.86238495065688,20
base,Context Length,8,days,78.10087845526735,25.448094653746214,20
base,Context Length,10,days,75.98346004905075,27.85588114434755,20
base,Context Length,14,days,73.1294516613105,26.24046092322483,20
base,Forecast Horizon,4,hours,41.57889449471365,24.69782805069975,20
base,Forecast Horizon,8,hours,64.00400736299554,36.78779751836955,20
base,Forecast Horizon,12,hours,66.5999723672105,31.238094069890263,20
base,Forecast Horizon,24,hours,74.47805417531495,29.442525803401132,20
base,Forecast Horizon,48,hours,75.38252976706532,27.429302978036226,20
large,Context Length,2,days,79.835755352965,27.964951652697575,20
large,Context Length,4,days,84.23487541027836,29.604949272347856,20
large,Context Length,8,days,73.62948600716935,30.492600549396897,20
large,Context Length,10,days,77.37712007523392,27.343803352409058,20
large,Context Length,14,days,77.08903859996205,23.12844796744131,20
large,Forecast Horizon,4,hours,40.48160626523178,21.65156469149526,20
large,Forecast Horizon,8,hours,57.63938192301647,34.827506750640936,20
large,Forecast Horizon,12,hours,61.63856593971177,32.96896970056332,20
large,Forecast Horizon,24,hours,76.57353402420748,27.944313868461812,20
large,Forecast Horizon,48,hours,71.95431009156297,28.92549263234258,20
