test_idx,rmse,use_covariates
3532,304.7293395996094,False
3556,53.81040573120117,False
3580,213.7161102294922,False
3604,45.833431243896484,False
3628,51.28341293334961,False
3652,54.671356201171875,False
3676,66.16476440429688,False
3700,34.52216720581055,False
3724,62.41960906982422,False
3748,30.571094512939453,False
3772,20.269695281982422,False
3796,40.202598571777344,False
3820,70.78030395507812,False
3844,84.37862396240234,False
3868,96.72602081298828,False
3892,94.30188751220703,False
3916,53.688072204589844,False
3940,27.266725540161133,False
3964,84.32081604003906,False
3988,52.271270751953125,False
4012,111.46846008300781,False
4036,97.33551025390625,False
4060,146.37539672851562,False
4084,72.60369873046875,False
4108,70.30241394042969,False
4132,80.4325942993164,False
4156,135.32676696777344,False
4180,43.18230056762695,False
4204,49.087318420410156,False
4228,116.39750671386719,False
4252,60.583797454833984,False
4276,77.5784912109375,False
4300,226.758544921875,False
4324,66.01805877685547,False
4348,58.59563446044922,False
4372,44.82948303222656,False
3532,271.21561145498856,True
3556,32.051620882220526,True
3580,73.36778706488936,True
3604,54.266052366765486,True
3628,66.74562682590542,True
3652,72.73031536716069,True
3676,47.05288185088332,True
3700,37.49755872307949,True
3724,49.33389516536793,True
3748,36.79041545202643,True
3772,22.77802878009961,True
3796,53.954719179253054,True
3820,64.14247407963461,True
3844,63.14731303374123,True
3868,108.35766490727778,True
3892,39.49886139553408,True
3916,91.06903872846607,True
3940,37.46226007041135,True
3964,67.84178603601345,True
3988,48.77597172119245,True
4012,130.49479224384794,True
4036,106.21316184593063,True
4060,120.60889765626251,True
4084,122.58369477114208,True
4108,74.01933299771395,True
4132,65.13272644747329,True
4156,92.9353990238356,True
4180,68.83852638243249,True
4204,49.609690142257946,True
4228,119.34970824303959,True
4252,44.32700076294794,True
4276,64.7023378431653,True
4300,257.52240867451854,True
4324,40.987906689813144,True
4348,44.06921361766465,True
4372,38.1922208302647,True
